24	17.323	0.262
26	15.689	0.244
28	14.067	0.217
30	12.719	0.204
34	10.638	0.127
38	8.571	0.111
42	6.663	0.094
46	5.432	0.084
50	4.336	0.075
54	3.417	0.066
58	2.601	0.059
62	2.080	0.055
66	1.602	0.051
70	1.326	0.048
80	0.913	0.041
90	0.614	0.040
100	0.409	0.039
110	0.293	0.039
120	0.215	0.038
130	0.161	0.038
140	0.124	0.038
150	0.093	0.038
160	0.077	0.038
175	0.055	0.038
190	0.040	0.038
210	0.028	0.038
