  3.6900E+00  2.4600E+00  4.9200E+00  2.0870E-01  7.0880E+00  1.1312E-01  5.6703E-01  1.2494E-01  1.7609E-01  8.5052E-01  6.8766E-03  6.9873E-03
  6.1500E+00  4.9200E+00  7.3800E+00  2.5865E-01  5.6433E+00  8.0870E-02  7.8888E-01  7.9181E-02  9.6910E-02  7.5153E-01  6.1794E-03  6.2686E-03
  8.6100E+00  7.3800E+00  9.8400E+00  2.9540E-01  4.8119E+00  6.4640E-02  9.3500E-01  5.7992E-02  6.6947E-02  6.8232E-01  5.7951E-03  5.8736E-03
  1.1070E+01  9.8400E+00  1.2300E+01  2.8561E-01  3.7663E+00  5.1442E-02  1.0441E+00  4.5758E-02  5.1153E-02  5.7592E-01  5.8916E-03  5.9727E-03
  1.3530E+01  1.2300E+01  1.4760E+01  2.8290E-01  2.9692E+00  4.0999E-02  1.1313E+00  3.7789E-02  4.1393E-02  4.7264E-01  5.9557E-03  6.0385E-03
  1.5990E+01  1.4760E+01  1.7220E+01  2.7118E-01  2.5096E+00  3.5265E-02  1.2038E+00  3.2185E-02  3.4762E-02  3.9961E-01  6.0601E-03  6.1459E-03
  1.8450E+01  1.7220E+01  1.9680E+01  2.7394E-01  2.1439E+00  3.0094E-02  1.2660E+00  2.8029E-02  2.9963E-02  3.3120E-01  6.0539E-03  6.1395E-03
  2.0910E+01  1.9680E+01  2.2140E+01  2.6494E-01  1.8775E+00  2.6856E-02  1.3204E+00  2.4824E-02  2.6329E-02  2.7359E-01  6.1682E-03  6.2571E-03
  2.3370E+01  2.2140E+01  2.4600E+01  2.7562E-01  1.7347E+00  2.4780E-02  1.3687E+00  2.2276E-02  2.3481E-02  2.3922E-01  6.1601E-03  6.2488E-03
  2.7060E+01  2.4600E+01  2.9520E+01  5.4550E-01  1.4979E+00  1.5272E-02  1.4323E+00  3.7788E-02  4.1393E-02  1.7549E-01  4.4053E-03  4.4504E-03
  3.1980E+01  2.9520E+01  3.4440E+01  5.2754E-01  1.2324E+00  1.3139E-02  1.5049E+00  3.2185E-02  3.4762E-02  9.0752E-02  4.6058E-03  4.6551E-03
  3.6900E+01  3.4440E+01  3.9360E+01  5.1719E-01  1.0472E+00  1.1525E-02  1.5670E+00  2.8029E-02  2.9963E-02  2.0025E-02  4.7535E-03  4.8061E-03
  4.1820E+01  3.9360E+01  4.4280E+01  5.1383E-01  9.1984E-01  1.0162E-02  1.6214E+00  2.4824E-02  2.6329E-02 -3.6288E-02  4.7717E-03  4.8247E-03
  4.6740E+01  4.4280E+01  4.9200E+01  4.9098E-01  7.9583E-01  9.7502E-03  1.6697E+00  2.2276E-02  2.3481E-02 -9.9179E-02  5.2885E-03  5.3537E-03
  5.4120E+01  4.9200E+01  5.9040E+01  9.5008E-01  6.6042E-01  6.9085E-03  1.7334E+00  3.7789E-02  4.1393E-02 -1.8018E-01  4.5195E-03  4.5670E-03
  6.3960E+01  5.9040E+01  6.8880E+01  8.5154E-01  5.0321E-01  5.8898E-03  1.8059E+00  3.2185E-02  3.4762E-02 -2.9825E-01  5.0537E-03  5.1132E-03
  7.3800E+01  6.8880E+01  7.8720E+01  7.9444E-01  4.0642E-01  5.5295E-03  1.8681E+00  2.8029E-02  2.9963E-02 -3.9102E-01  5.8689E-03  5.9493E-03
  8.3640E+01  7.8720E+01  8.8560E+01  7.3224E-01  3.3225E-01  5.2626E-03  1.9224E+00  2.4824E-02  2.6329E-02 -4.7854E-01  6.8251E-03  6.9340E-03
  9.3480E+01  8.8560E+01  9.8400E+01  6.7129E-01  2.7163E-01  5.2536E-03  1.9707E+00  2.2276E-02  2.3481E-02 -5.6603E-01  8.3197E-03  8.4822E-03
